;ID;Materia;Link
32;3215;Empreendedorismo Social (11100010332_20221_02) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3215_1&handle=announcements_entry&mode=view
33;3217;Engenharia Organizacional (11100010895_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3217_1&handle=announcements_entry&mode=view
34;3218;Epidemiologia e mecanismo das doenças (11100010750_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3218_1&handle=announcements_entry&mode=view
35;3219;Epidemiologia e mecanismo das doenças (11100010750_20221_02) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3219_1&handle=announcements_entry&mode=view
36;3220;Epidemiologia e mecanismo das doenças (11100010750_20221_03) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3220_1&handle=announcements_entry&mode=view
37;3221;Epistemologia do Fenômeno Religioso (11100010430_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3221_1&handle=announcements_entry&mode=view
38;3222;Ergonomia e Ginástica Laboral (11100010207_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3222_1&handle=announcements_entry&mode=view
39;3227;Esportes Ginásticos (11100010216_20221_02) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3227_1&handle=announcements_entry&mode=view
40;3230;Estágio Curricular Supervisionado em Matemática: Leitura de Documentos e Mapeamento do Contexto Escolar (11109940001_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3230_1&handle=announcements_entry&mode=view
41;3231;Estágio Curricular Supervisionado: Docência em Língua Portuguesa (11108540003_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3231_1&handle=announcements_entry&mode=view
42;3232;Estágio Curricular Supervisionado: Pesquisa em Ensino de Química (11109840001_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3232_1&handle=announcements_entry&mode=view
43;3238;Filosofia (11100010255_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3238_1&handle=announcements_entry&mode=view
44;3239;Filosofia (11100010255_20221_02) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3239_1&handle=announcements_entry&mode=view
45;3241;Física Básica: Mecânica da Partícula (11100010470_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3241_1&handle=announcements_entry&mode=view
46;3243;Física do Movimento (11100010851_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3243_1&handle=announcements_entry&mode=view
47;3244;Física do Movimento (11100010851_20221_02) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3244_1&handle=announcements_entry&mode=view
48;3245;Física do Movimento (11100010851_20221_03) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3245_1&handle=announcements_entry&mode=view
49;3246;Física do Movimento (11100010851_20221_04) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3246_1&handle=announcements_entry&mode=view
50;3247;Física do Movimento (11100010851_20221_05) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3247_1&handle=announcements_entry&mode=view
51;3248;Física do Movimento (11100010851_20221_06) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3248_1&handle=announcements_entry&mode=view
52;3249;Física do Movimento (11100010851_20221_07) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3249_1&handle=announcements_entry&mode=view
53;3251;Física do Movimento (11100010851_20221_09) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3251_1&handle=announcements_entry&mode=view
54;3252;Física Experimental: Movimento Rotacional, Vibrações e Ondas (11100010479_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3252_1&handle=announcements_entry&mode=view
55;3253;Fisiologia da Performance Humana (11100010212_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3253_1&handle=announcements_entry&mode=view
56;3254;Fisiologia da Performance Humana (11100010212_20221_02) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3254_1&handle=announcements_entry&mode=view
57;3255;Fundamentos da Teoria Criminológica (11100011151_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3255_1&handle=announcements_entry&mode=view
58;3256;Fundamentos de Internet das Coisas (11100010552_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3256_1&handle=announcements_entry&mode=view
59;3257;Fundamentos de Internet das Coisas (11100010552_20221_02) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3257_1&handle=announcements_entry&mode=view
