;ID;Materia;Link
0;3164;Administração Estratégica (11100010154_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3164_1&handle=announcements_entry&mode=view
1;3165;Arquitetura Corporativa (11100010536_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3165_1&handle=announcements_entry&mode=view
2;3166;Banco de Dados Aplicado à Big Data (11100010568_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3166_1&handle=announcements_entry&mode=view
3;3167;Biologia e Bioquímica do Movimento Humano (11100010203_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3167_1&handle=announcements_entry&mode=view
4;3168;Biologia e Bioquímica do Movimento Humano (11100010203_20221_02) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3168_1&handle=announcements_entry&mode=view
5;3171;Biologia Educacional (11100010302_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3171_1&handle=announcements_entry&mode=view
6;3172;Branding: Gestão de Marcas (11100010390_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3172_1&handle=announcements_entry&mode=view
7;3173;Cálculo de Uma Variável (11100010463_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3173_1&handle=announcements_entry&mode=view
8;3174;Cálculo de Várias Variáveis (11100010464_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3174_1&handle=announcements_entry&mode=view
9;3175;Cenários Econômicos (11100010578_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3175_1&handle=announcements_entry&mode=view
10;3176;Cenários Econômicos (11100010578_20221_02) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3176_1&handle=announcements_entry&mode=view
11;3177;Cidades Inteligentes e Sistemas de Informação (11100010628_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3177_1&handle=announcements_entry&mode=view
12;3178;Cineantropometria (11100010420_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3178_1&handle=announcements_entry&mode=view
13;3180;Cinesiologia (11100010417_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3180_1&handle=announcements_entry&mode=view
14;3181;Cinesiologia (11100010417_20221_02) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3181_1&handle=announcements_entry&mode=view
15;3182;Cloud Computing (11100010547_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3182_1&handle=announcements_entry&mode=view
16;3183;Computação Natural (11100010772_20221_01) ;https://eadpucpr.blackboard.com/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_3183_1&handle=announcements_entry&mode=view
